Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Applicants_remaining_evening,,,,,,,QT_INSC_VAGA_REMAN_NOTURNO,QT_INSC_VAGA_REMAN_NOTURNO,QT_INSC_VAGA_REMAN_NOTURNO,QT_INSC_VAGAS_REMAN_NOT,QT_INSC_VAGAS_REMAN_NOT,QT_INSC_VAGAS_REMAN_NOT,,,,,
Applicants_remaining_distance,,,,,,,QT_INSC_VAGA_REMAN_EAD,QT_INSC_VAGA_REMAN_EAD,QT_INSC_VAGA_REMAN_EAD,QT_INSC_VAGAS_REMAN_EAD,QT_INSC_VAGAS_REMAN_EAD,QT_INSC_VAGAS_REMAN_EAD,,,,,
Applicants_special_full-time,,,,,,,QT_INSC_PROG_ESP_INTEGRAL,QT_INSC_PROG_ESP_INTEGRAL,QT_INSC_PROG_ESP_INTEGRAL,QT_INSC_VAGAS_PROG_ESP_INT,QT_INSC_VAGAS_PROG_ESP_INT,QT_INSC_VAGAS_PROG_ESP_INT,,,,,
Applicants_special_morning,,,,,,,QT_INSC_PROG_ESP_MATUTINO,QT_INSC_PROG_ESP_MATUTINO,QT_INSC_PROG_ESP_MATUTINO,QT_INSC_VAGAS_PROG_ESP_MAT,QT_INSC_VAGAS_PROG_ESP_MAT,QT_INSC_VAGAS_PROG_ESP_MAT,,,,,
Applicants_special_afternoon,,,,,,,QT_INSC_PROG_ESP_VESPERTINO,QT_INSC_PROG_ESP_VESPERTINO,QT_INSC_PROG_ESP_VESPERTINO,QT_INSC_VAGAS_PROG_ESP_VESP,QT_INSC_VAGAS_PROG_ESP_VESP,QT_INSC_VAGAS_PROG_ESP_VESP,,,,,
Applicants_special_evening,,,,,,,QT_INSC_PROG_ESP_NOTURNO,QT_INSC_PROG_ESP_NOTURNO,QT_INSC_PROG_ESP_NOTURNO,QT_INSC_VAGAS_PROG_ESP_NOT,QT_INSC_VAGAS_PROG_ESP_NOT,QT_INSC_VAGAS_PROG_ESP_NOT,,,,,
Applicants_special_distance,,,,,,,QT_INSC_PROG_ESP_EAD,QT_INSC_PROG_ESP_EAD,QT_INSC_PROG_ESP_EAD,QT_INSC_VAGAS_PROG_ESP_EAD,QT_INSC_VAGAS_PROG_ESP_EAD,QT_INSC_VAGAS_PROG_ESP_EAD,,,,,
Applicants_main_full-time,,,,,,,QT_INSC_PRINCIPAL_INTEGRAL,QT_INSC_PRINCIPAL_INTEGRAL,QT_INSC_PRINCIPAL_INTEGRAL,,,,QT_INSCRITOS_PRINCIPAL_INTE,,,,
Applicants_main_morning,,,,,,,QT_INSC_PRINCIPAL_MATUTINO,QT_INSC_PRINCIPAL_MATUTINO,QT_INSC_PRINCIPAL_MATUTINO,,,,QT_INSCRITOS_PRINCIPAL_MATU,,,,
Applicants_main_afternoon,,,,,,,QT_INSC_PRINCIPAL_VESPERTINO,QT_INSC_PRINCIPAL_VESPERTINO,QT_INSC_PRINCIPAL_VESPERTINO,,,,QT_INSCRITOS_PRINCIPAL_VESP,,,,
Applicants_main_evening,,,,,,,QT_INSC_PRINCIPAL_NOTURNO,QT_INSC_PRINCIPAL_NOTURNO,QT_INSC_PRINCIPAL_NOTURNO,,,,QT_INSCRITOS_PRINCIPAL_NOTURNO,,,,
Applicants_main_distance,,,,,,,QT_INSC_PRINCIPAL_EAD,QT_INSC_PRINCIPAL_EAD,QT_INSC_PRINCIPAL_EAD,,,,QT_INSCRITOS_PRINCIPAL_EAD,,,,
Applicants_other_full-time,,,,,,,QT_INSC_OUTRA_VAGA_INTEGRAL,QT_INSC_OUTRA_VAGA_INTEGRAL,QT_INSC_OUTRA_VAGA_INTEGRAL,,,,QT_INSCRITOS_OUTRAS_VAGAS_INTE,,,,
Applicants_other_morning,,,,,,,QT_INSC_OUTRA_VAGA_MATUTINO,QT_INSC_OUTRA_VAGA_MATUTINO,QT_INSC_OUTRA_VAGA_MATUTINO,,,,QT_INSCRITOS_OUTRAS_VAGAS_MATU,,,,
Applicants_other_afternoon,,,,,,,QT_INSC_OUTRA_VAGA_VESPERTINO,QT_INSC_OUTRA_VAGA_VESPERTINO,QT_INSC_OUTRA_VAGA_VESPERTINO,,,,QT_INSCRITOS_OUTRAS_VAGAS_VESP,,,,
Applicants_other_evening,,,,,,,QT_INSC_OUTRA_VAGA_NOTURNO,QT_INSC_OUTRA_VAGA_NOTURNO,QT_INSC_OUTRA_VAGA_NOTURNO,,,,QT_INSCRITOS_OUTRAS_VAGAS_NOT,,,,
Applicants_other_distance,,,,,,,QT_INSC_OUTRA_VAGA_EAD,QT_INSC_OUTRA_VAGA_EAD,QT_INSC_OUTRA_VAGA_EAD,,,,QT_INSCRITOS_OUTRAS_VAGAS_EAD,,,,
Applicants_full-time,,,,,,,QT_INSC_ANUAL_INTEGRAL,QT_INSC_ANUAL_INTEGRAL,QT_INSC_ANUAL_INTEGRAL,,,,,QT_INSCRITOS_INTEGRAL_PRES,QT_INSCRITOS_INTEGRAL_PRES,QT_INSCRITOS_INTEGRAL_PRES,
Applicants_morning,,,,,,,QT_INSC_ANUAL_MATUTINO,QT_INSC_ANUAL_MATUTINO,QT_INSC_ANUAL_MATUTINO,,,,,QT_INSCRITOS_MATUTINO_PRES,QT_INSCRITOS_MATUTINO_PRES,QT_INSCRITOS_MATUTINO_PRES,
Applicants_afternoon,,,,,,,QT_INSC_ANUAL_VESPERTINO,QT_INSC_ANUAL_VESPERTINO,QT_INSC_ANUAL_VESPERTINO,,,,,QT_INSCRITOS_VESPERTINO_PRES,QT_INSCRITOS_VESPERTINO_PRES,QT_INSCRITOS_VESPERTINO_PRES,
Applicants_day,Applicants_day,Inscritos_diurno,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_DIURNO,,,,,,,,,,,
Applicants_evening,Applicants_evening,Inscritos_noturno,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSC_ANUAL_NOTURNO,QT_INSC_ANUAL_NOTURNO,QT_INSC_ANUAL_NOTURNO,,,,,QT_INSCRITOS_NOTURNO_PRES,QT_INSCRITOS_NOTURNO_PRES,QT_INSCRITOS_NOTURNO_PRES,
